"cohort","subtype","model","time_months","auc","brier"
"Spatial validation cohort","IDHmut-intact","3D-CNN",24,0.6464828417330724,0.19120358510360178
"Spatial validation cohort","IDHmut-intact","3D-CNN",30,0.6656584422507845,0.1935288674215911
"Spatial validation cohort","IDHmut-intact","3D-CNN",36,0.7052860818905163,0.20038557587257427
"Spatial validation cohort","IDHmut-intact","Clinicoradiologic",6,0.666614043220737,0.05323930249019286
"Spatial validation cohort","IDHmut-intact","Clinicoradiologic",12,0.6888909879520008,0.1041526018698223
"Spatial validation cohort","IDHmut-intact","Clinicoradiologic",18,0.709299819497666,0.13815258480911627
"Spatial validation cohort","IDHmut-intact","Clinicoradiologic",24,0.6273735818897369,0.19431708994667066
"Spatial validation cohort","IDHmut-intact","Clinicoradiologic",30,0.6520417674501476,0.20375645326171044
"Spatial validation cohort","IDHmut-intact","Clinicoradiologic",36,0.6787628781868895,0.21245418530872356
"Spatial validation cohort","IDHmut-intact","3D-ViT",6,0.6091425542636778,0.05626149401571874
"Spatial validation cohort","IDHmut-intact","3D-ViT",12,0.6877511761778337,0.10586512140893015
"Spatial validation cohort","IDHmut-intact","3D-ViT",18,0.7002698636769189,0.13957564132129613
"Spatial validation cohort","IDHmut-intact","3D-ViT",24,0.6981637196865543,0.18075334863116754
"Spatial validation cohort","IDHmut-intact","3D-ViT",30,0.7174406648445094,0.17705412710215332
"Spatial validation cohort","IDHmut-intact","3D-ViT",36,0.7306501065050484,0.188146267084132
"Spatial validation cohort","IDHmut-intact","CR-ViT",6,0.6995085385143393,0.05550930368816499
"Spatial validation cohort","IDHmut-intact","CR-ViT",12,0.7544507071713918,0.10072200250174225
"Spatial validation cohort","IDHmut-intact","CR-ViT",18,0.787950108618196,0.12630227014128345
"Spatial validation cohort","IDHmut-intact","CR-ViT",24,0.7351138821978704,0.1720939996769724
"Spatial validation cohort","IDHmut-intact","CR-ViT",30,0.7567092342928886,0.1676054169991364
"Spatial validation cohort","IDHmut-intact","CR-ViT",36,0.7775392523509251,0.1734109676872365
"Spatial validation cohort","IDHmut-codel","3D-CNN",6,0.5467007987466252,0.044648105268076006
"Spatial validation cohort","IDHmut-codel","3D-CNN",12,0.5963689415686803,0.12452306390972635
"Spatial validation cohort","IDHmut-codel","3D-CNN",18,0.6626983809158793,0.15606776071473183
"Spatial validation cohort","IDHmut-codel","3D-CNN",24,0.6725730133545395,0.16611096444646406
"Spatial validation cohort","IDHmut-codel","3D-CNN",30,0.6524467008319008,0.18134782050125922
"Spatial validation cohort","IDHmut-codel","3D-CNN",36,0.6259060579367847,0.19776164298692675
"Spatial validation cohort","IDHmut-codel","Clinicoradiologic",6,0.6018436918600585,0.044305697512554774
"Spatial validation cohort","IDHmut-codel","Clinicoradiologic",12,0.6390153951450178,0.12821809047843313
"Spatial validation cohort","IDHmut-codel","Clinicoradiologic",18,0.6652600776222033,0.16669059773258854
"Spatial validation cohort","IDHmut-codel","Clinicoradiologic",24,0.665488829896887,0.1772380800301421
"Spatial validation cohort","IDHmut-codel","Clinicoradiologic",30,0.6457117230628633,0.19055160294920603
"Spatial validation cohort","IDHmut-codel","Clinicoradiologic",36,0.6470940022395648,0.2023459465695986
"Spatial validation cohort","IDHmut-codel","3D-ViT",6,0.6458097276427882,0.045530569384729554
"Spatial validation cohort","IDHmut-codel","3D-ViT",12,0.6820369156102704,0.11815462350938626
"Spatial validation cohort","IDHmut-codel","3D-ViT",18,0.735277249563469,0.14201193471788684
"Spatial validation cohort","IDHmut-codel","3D-ViT",24,0.7554128892712121,0.14696874691049464
"Spatial validation cohort","IDHmut-codel","3D-ViT",30,0.7485585575196696,0.15845698645300357
"Spatial validation cohort","IDHmut-codel","3D-ViT",36,0.7056240219678758,0.17718622466913603
"Spatial validation cohort","IDHmut-codel","CR-ViT",6,0.6365772797851358,0.0495170558298069
"Spatial validation cohort","IDHmut-codel","CR-ViT",12,0.7163741707041661,0.12359665127243079
"Spatial validation cohort","IDHmut-codel","CR-ViT",18,0.7720148434795572,0.14232156209866306
"Spatial validation cohort","IDHmut-codel","CR-ViT",24,0.7784196164748727,0.14424470609677933
"Spatial validation cohort","IDHmut-codel","CR-ViT",30,0.7762457249391048,0.15414077720216612
