"cohort","subtype","model","time_months","risk_quantile","n","predicted_event_probability","observed_event_probability"
"Spatial validation cohort","IDHmut-codel","Clinicoradiologic",24,1,30,0.08295971327691085,0.1447272727272727
"Spatial validation cohort","IDHmut-codel","Clinicoradiologic",24,2,30,0.1255424801703122,0.11066688877783326
"Spatial validation cohort","IDHmut-codel","Clinicoradiologic",24,3,30,0.18198056521656905,0.2753623188405797
"Spatial validation cohort","IDHmut-codel","Clinicoradiologic",24,4,30,0.26163476990509166,0.3247223364870424
"Spatial validation cohort","IDHmut-codel","Clinicoradiologic",24,5,30,0.44333395332432946,0.3617669208619433
"Spatial validation cohort","IDHmut-codel","3D-CNN",24,1,30,0.11093384948729633,0.1694444444444445
"Spatial validation cohort","IDHmut-codel","3D-CNN",24,2,30,0.1610373748614601,0.14621212121212113
"Spatial validation cohort","IDHmut-codel","3D-CNN",24,3,30,0.2214284784227511,0.27944862155388484
"Spatial validation cohort","IDHmut-codel","3D-CNN",24,4,30,0.28531314493730187,0.27939799331103665
"Spatial validation cohort","IDHmut-codel","3D-CNN",24,5,30,0.4134029780804952,0.3766464646464647
"Spatial validation cohort","IDHmut-codel","3D-ViT",24,1,30,0.08190445060656251,0.10256410256410253
"Spatial validation cohort","IDHmut-codel","3D-ViT",24,2,30,0.14065202507903612,0.17356521739130437
"Spatial validation cohort","IDHmut-codel","3D-ViT",24,3,30,0.21042898429043394,0.20719696969696977
"Spatial validation cohort","IDHmut-codel","3D-ViT",24,4,30,0.3040835547737825,0.2960934946060805
"Spatial validation cohort","IDHmut-codel","3D-ViT",24,5,30,0.539079921815111,0.5061252522987216
"Spatial validation cohort","IDHmut-codel","CR-ViT",24,1,30,0.03833690912160184,0.06913580246913587
"Spatial validation cohort","IDHmut-codel","CR-ViT",24,2,30,0.10307644072249955,0.13333333333333341
"Spatial validation cohort","IDHmut-codel","CR-ViT",24,3,30,0.1618766497842109,0.25842424242424245
"Spatial validation cohort","IDHmut-codel","CR-ViT",24,4,30,0.2586768755659171,0.2662661881728816
"Spatial validation cohort","IDHmut-codel","CR-ViT",24,5,30,0.7095501559056364,0.5526315789473685
"Spatial validation cohort","GBM","Clinicoradiologic",12,1,66,0.4073083703604986,0.34228825019522713
"Spatial validation cohort","GBM","Clinicoradiologic",12,2,66,0.5429140571865585,0.3998366203757733
"Spatial validation cohort","GBM","Clinicoradiologic",12,3,66,0.6365677000539582,0.5382369146005512
"Spatial validation cohort","GBM","Clinicoradiologic",12,4,66,0.7314117529513247,0.7328843995510661
"Spatial validation cohort","GBM","Clinicoradiologic",12,5,65,0.8428863667437915,0.7000000000000002
"Spatial validation cohort","GBM","3D-CNN",12,1,66,0.3631940032018982,0.34883720930232565
"Spatial validation cohort","GBM","3D-CNN",12,2,66,0.5144180802708072,0.5226453993055554
"Spatial validation cohort","GBM","3D-CNN",12,3,66,0.6293354028521044,0.47611111111111126
"Spatial validation cohort","GBM","3D-CNN",12,4,66,0.719822084399665,0.6223075695058453
