"cohort","subtype","time_months","threshold","strategy","net_benefit","n"
"Training cohort","IDHmut-codel",24,0.35,"Clinicoradiologic",0.02624081571449989,189
"Training cohort","IDHmut-codel",24,0.35,"3D-CNN",0.030218755360800823,189
"Training cohort","IDHmut-codel",24,0.35,"3D-ViT",0.015067248511126025,189
"Training cohort","IDHmut-codel",24,0.35,"CR-ViT",0.04519041533472958,189
"Training cohort","IDHmut-codel",24,0.375,"Treat all",-0.2440895566222453,189
"Training cohort","IDHmut-codel",24,0.375,"Treat none",0,189
"Training cohort","IDHmut-codel",24,0.375,"Clinicoradiologic",0.004295051353874911,189
"Training cohort","IDHmut-codel",24,0.375,"3D-CNN",0.04121414647730436,189
"Training cohort","IDHmut-codel",24,0.375,"3D-ViT",0.03227929674480839,189
"Training cohort","IDHmut-codel",24,0.375,"CR-ViT",0.05764541266241951,189
"Training cohort","IDHmut-codel",24,0.4,"Treat all",-0.2959266214815056,189
"Training cohort","IDHmut-codel",24,0.4,"Treat none",0,189
"Training cohort","IDHmut-codel",24,0.4,"Clinicoradiologic",2.4118542637061225e-4,189
"Training cohort","IDHmut-codel",24,0.4,"3D-CNN",0.015630203130203118,189
"Training cohort","IDHmut-codel",24,0.4,"3D-ViT",0.02171950553774681,189
"Training cohort","IDHmut-codel",24,0.4,"CR-ViT",0.03866329455555042,189
"Training cohort","IDHmut-codel",24,0.42500000000000004,"Treat all",-0.3522712571980928,189
"Training cohort","IDHmut-codel",24,0.42500000000000004,"Treat none",0,189
"Training cohort","IDHmut-codel",24,0.42500000000000004,"Clinicoradiologic",-0.006232093188614935,189
"Training cohort","IDHmut-codel",24,0.42500000000000004,"3D-CNN",0.0236108496978062,189
"Training cohort","IDHmut-codel",24,0.42500000000000004,"3D-ViT",0.02252220491552834,189
"Training cohort","IDHmut-codel",24,0.42500000000000004,"CR-ViT",0.03514710027182693,189
"Training cohort","IDHmut-codel",24,0.45000000000000007,"Treat all",-0.413738132525279,189
"Training cohort","IDHmut-codel",24,0.45000000000000007,"Treat none",0,189
"Training cohort","IDHmut-codel",24,0.45000000000000007,"Clinicoradiologic",-0.018346732632446926,189
"Training cohort","IDHmut-codel",24,0.45000000000000007,"3D-CNN",0.027661345121662583,189
"Training cohort","IDHmut-codel",24,0.45000000000000007,"3D-ViT",0.03659699381624517,189
"Training cohort","IDHmut-codel",24,0.45000000000000007,"CR-ViT",0.04233837531367068,189
"Training cohort","IDHmut-codel",24,0.475,"Treat all",-0.48105899597886337,189
"Training cohort","IDHmut-codel",24,0.475,"Treat none",0,189
"Training cohort","IDHmut-codel",24,0.475,"Clinicoradiologic",-0.028722600151171576,189
"Training cohort","IDHmut-codel",24,0.475,"3D-CNN",-5.878894767783635e-4,189
"Training cohort","IDHmut-codel",24,0.475,"3D-ViT",0.04696205225305756,189
"Training cohort","IDHmut-codel",24,0.475,"CR-ViT",0.03944911297852476,189
"Training cohort","IDHmut-codel",24,0.5,"Treat all",-0.5551119457778066,189
"Training cohort","IDHmut-codel",24,0.5,"Treat none",0,189
"Training cohort","IDHmut-codel",24,0.5,"Clinicoradiologic",-0.026455026455026454,189
"Training cohort","IDHmut-codel",24,0.5,"3D-CNN",0,189
"Training cohort","IDHmut-codel",24,0.5,"3D-ViT",0.03488756613756613,189
"Training cohort","IDHmut-codel",24,0.5,"CR-ViT",0.05220458553791887,189
"Training cohort","IDHmut-codel",24,0.525,"Treat all",-0.636959942924007,189
"Training cohort","IDHmut-codel",24,0.525,"Treat none",0,189
"Training cohort","IDHmut-codel",24,0.525,"Clinicoradiologic",-0.0058479532163742695,189
"Training cohort","IDHmut-codel",24,0.525,"3D-CNN",0.015873015873015872,189
"Training cohort","IDHmut-codel",24,0.525,"3D-ViT",0.0541592075426662,189
"Training cohort","IDHmut-codel",24,0.525,"CR-ViT",0.048825768124013735,189
"Training cohort","IDHmut-codel",24,0.55,"Treat all",-0.727902161975341,189
"Training cohort","IDHmut-codel",24,0.55,"Treat none",0,189
"Training cohort","IDHmut-codel",24,0.55,"Clinicoradiologic",0,189
"Training cohort","IDHmut-codel",24,0.55,"3D-CNN",-0.006466784244562024,189
"Training cohort","IDHmut-codel",24,0.55,"3D-ViT",0.06349206349206349,189
"Training cohort","IDHmut-codel",24,0.55,"CR-ViT",0.01419979197756975,189
"Training cohort","IDHmut-codel",24,0.5750000000000001,"Treat all",-0.8295434656209492,189
"Training cohort","IDHmut-codel",24,0.5750000000000001,"Treat none",0,189
"Training cohort","IDHmut-codel",24,0.5750000000000001,"Clinicoradiologic",0,189
"Training cohort","IDHmut-codel",24,0.5750000000000001,"3D-CNN",-0.007158418923124806,189
"Training cohort","IDHmut-codel",24,0.5750000000000001,"3D-ViT",0.06349206349206349,189
"Training cohort","IDHmut-codel",24,0.5750000000000001,"CR-ViT",0.020994256288373928,189
"Training cohort","IDHmut-codel",24,0.6,"Treat all",-0.9438899322222581,189
"Training cohort","IDHmut-codel",24,0.6,"Treat none",0,189
"Training cohort","IDHmut-codel",24,0.6,"Clinicoradiologic",0,189
"Training cohort","IDHmut-codel",24,0.6,"3D-CNN",-0.007936507936507934,189
"Training cohort","IDHmut-codel",24,0.6,"3D-ViT",0.047619047619047616,189
"Training cohort","IDHmut-codel",24,0.6,"CR-ViT",0.009994121105232241,189
"Training cohort","IDHmut-codel",24,0.625,"Treat all",-1.0734825943704087,189
"Training cohort","IDHmut-codel",24,0.625,"Treat none",0,189
"Training cohort","IDHmut-codel",24,0.625,"Clinicoradiologic",0,189
"Training cohort","IDHmut-codel",24,0.625,"3D-CNN",-0.008818342151675485,189
"Training cohort","IDHmut-codel",24,0.625,"3D-ViT",0.042328042328042326,189
"Training cohort","IDHmut-codel",24,0.625,"CR-ViT",0.034013605442176874,189
"Training cohort","IDHmut-codel",24,0.65,"Treat all",-1.2215884939682953,189
"Training cohort","IDHmut-codel",24,0.65,"Treat none",0,189
"Training cohort","IDHmut-codel",24,0.65,"Clinicoradiologic",0,189
"Training cohort","IDHmut-codel",24,0.65,"3D-CNN",-0.009826152683295541,189
"Training cohort","IDHmut-codel",24,0.65,"3D-ViT",0.042328042328042326,189
"Training cohort","IDHmut-codel",24,0.65,"CR-ViT",0.023515579071134628,189
"Training cohort","IDHmut-codel",24,0.675,"Treat all",-1.3924799165812414,189
"Training cohort","IDHmut-codel",24,0.675,"Treat none",0,189
"Training cohort","IDHmut-codel",24,0.675,"Clinicoradiologic",0,189
"Training cohort","IDHmut-codel",24,0.675,"3D-CNN",0,189
"Training cohort","IDHmut-codel",24,0.675,"3D-ViT",0.010175010175010175,189
"Training cohort","IDHmut-codel",24,0.675,"CR-ViT",0.021571021571021576,189
"Training cohort","IDHmut-codel",24,0.7,"Treat all",-1.591853242963011,189
"Training cohort","IDHmut-codel",24,0.7,"Treat none",0,189
"Training cohort","IDHmut-codel",24,0.7,"Clinicoradiologic",0,189
"Training cohort","IDHmut-codel",24,0.7,"3D-CNN",0,189
"Training cohort","IDHmut-codel",24,0.7,"3D-ViT",0.0035273368606701955,189
"Training cohort","IDHmut-codel",24,0.7,"CR-ViT",0.01940035273368608,189
"Training cohort","GBM",12,0.1,"Treat all",0.5808032852298732,417
"Training cohort","GBM",12,0.1,"Treat none",0,417
"Training cohort","GBM",12,0.1,"Clinicoradiologic",0.5808032852298732,417
"Training cohort","GBM",12,0.1,"3D-CNN",0.5808032852298732,417
"Training cohort","GBM",12,0.1,"3D-ViT",0.5808032852298732,417
"Training cohort","GBM",12,0.1,"CR-ViT",0.5807345117979459,417
"Training cohort","GBM",12,0.125,"Treat all",0.568826236236441,417
"Training cohort","GBM",12,0.125,"Treat none",0,417
"Training cohort","GBM",12,0.125,"Clinicoradiologic",0.568826236236441,417
"Training cohort","GBM",12,0.125,"3D-CNN",0.568826236236441,417
"Training cohort","GBM",12,0.125,"3D-ViT",0.568826236236441,417
"Training cohort","GBM",12,0.125,"CR-ViT",0.5719104742759532,417
"Training cohort","GBM",12,0.15000000000000002,"Treat all",0.5561446549492776,417
"Training cohort","GBM",12,0.15000000000000002,"Treat none",0,417
"Training cohort","GBM",12,0.15000000000000002,"Clinicoradiologic",0.5561446549492776,417
"Training cohort","GBM",12,0.15000000000000002,"3D-CNN",0.5561446549492776,417
"Training cohort","GBM",12,0.15000000000000002,"3D-ViT",0.5587011062891675,417
"Training cohort","GBM",12,0.15000000000000002,"CR-ViT",0.5618737551245726,417
"Training cohort","GBM",12,0.17500000000000002,"Treat all",0.5426944929780435,417
"Training cohort","GBM",12,0.17500000000000002,"Treat none",0,417
"Training cohort","GBM",12,0.17500000000000002,"Clinicoradiologic",0.5426944929780435,417
"Training cohort","GBM",12,0.17500000000000002,"3D-CNN",0.5426944929780435,417
"Training cohort","GBM",12,0.17500000000000002,"3D-ViT",0.5449672305152842,417
"Training cohort","GBM",12,0.17500000000000002,"CR-ViT",0.5535268140247209,417
"Training cohort","GBM",12,0.2,"Treat all",0.5284036958836074,417
"Training cohort","GBM",12,0.2,"Treat none",0,417
"Training cohort","GBM",12,0.2,"Clinicoradiologic",0.5284036958836074,417
"Training cohort","GBM",12,0.2,"3D-CNN",0.5284036958836074,417
"Training cohort","GBM",12,0.2,"3D-ViT",0.5318191515008868,417
"Training cohort","GBM",12,0.2,"CR-ViT",0.5393614001003803,417
"Training cohort","GBM",12,0.225,"Treat all",0.5131909118798528,417
"Training cohort","GBM",12,0.225,"Treat none",0,417
"Training cohort","GBM",12,0.225,"Clinicoradiologic",0.5131909118798528,417
"Training cohort","GBM",12,0.225,"3D-CNN",0.5123708465350058,417
"Training cohort","GBM",12,0.225,"3D-ViT",0.5193878336009923,417
"Training cohort","GBM",12,0.225,"CR-ViT",0.5196414896588072,417
"Training cohort","GBM",12,0.25,"Treat all",0.49696394227584795,417
"Training cohort","GBM",12,0.25,"Treat none",0,417
"Training cohort","GBM",12,0.25,"Clinicoradiologic",0.49696394227584795,417
"Training cohort","GBM",12,0.25,"3D-CNN",0.49635634957298325,417
"Training cohort","GBM",12,0.25,"3D-ViT",0.5035839797515027,417
"Training cohort","GBM",12,0.25,"CR-ViT",0.5080639523510863,417
"Training cohort","GBM",12,0.275,"Treat all",0.4796178713198427,417
"Training cohort","GBM",12,0.275,"Treat none",0,417
"Training cohort","GBM",12,0.275,"Clinicoradiologic",0.4796178713198427,417
