"cohort","subtype","model","time_months","brier","ibs"
"Temporal validation cohort","IDHmut-codel","CR-ViT",24,0.15212039766150004,0.12288735368136529
"Temporal validation cohort","IDHmut-codel","CR-ViT",30,0.16436783244831665,0.12288735368136529
"Temporal validation cohort","IDHmut-codel","CR-ViT",36,0.17447431293543406,0.12288735368136529
"Temporal validation cohort","GBM","Clinicoradiologic",6,0.22400544037534442,0.16104535813846238
"Temporal validation cohort","GBM","Clinicoradiologic",12,0.20834593003463805,0.16104535813846238
"Temporal validation cohort","GBM","Clinicoradiologic",18,0.16408405219417355,0.16104535813846238
"Temporal validation cohort","GBM","Clinicoradiologic",24,0.15201800842132718,0.16104535813846238
"Temporal validation cohort","GBM","Clinicoradiologic",30,0.1201067099724405,0.16104535813846238
"Temporal validation cohort","GBM","Clinicoradiologic",36,0.09733873976412054,0.16104535813846238
"Temporal validation cohort","GBM","3D-CNN",6,0.23553993609136867,0.15394966198955837
"Temporal validation cohort","GBM","3D-CNN",12,0.2162053865672079,0.15394966198955837
"Temporal validation cohort","GBM","3D-CNN",18,0.16240518086539313,0.15394966198955837
"Temporal validation cohort","GBM","3D-CNN",24,0.1357162043292571,0.15394966198955837
"Temporal validation cohort","GBM","3D-CNN",30,0.09891445990023819,0.15394966198955837
"Temporal validation cohort","GBM","3D-CNN",36,0.0774742204800224,0.15394966198955837
"Temporal validation cohort","GBM","3D-ViT",6,0.21322634216340455,0.133351755170923
"Temporal validation cohort","GBM","3D-ViT",12,0.19237104040072725,0.133351755170923
"Temporal validation cohort","GBM","3D-ViT",18,0.1416586585191512,0.133351755170923
"Temporal validation cohort","GBM","3D-ViT",24,0.11488252379434634,0.133351755170923
"Temporal validation cohort","GBM","3D-ViT",30,0.08141988521532209,0.133351755170923
"Temporal validation cohort","GBM","3D-ViT",36,0.05962699368673147,0.133351755170923
"Temporal validation cohort","GBM","CR-ViT",6,0.19633221240698168,0.11757517423988544
"Temporal validation cohort","GBM","CR-ViT",12,0.16861900210036088,0.11757517423988544
"Temporal validation cohort","GBM","CR-ViT",18,0.12218875946080361,0.11757517423988544
"Temporal validation cohort","GBM","CR-ViT",24,0.09910324356820073,0.11757517423988544
"Temporal validation cohort","GBM","CR-ViT",30,0.07369360518364075,0.11757517423988544
"Temporal validation cohort","GBM","CR-ViT",36,0.052210309365860616,0.11757517423988544
"Spatial validation cohort","IDHmut-intact","Clinicoradiologic",6,0.05323930249019286,0.15464509475735558
"Spatial validation cohort","IDHmut-intact","Clinicoradiologic",12,0.1041526018698223,0.15464509475735558
"Spatial validation cohort","IDHmut-intact","Clinicoradiologic",18,0.13815258480911627,0.15464509475735558
"Spatial validation cohort","IDHmut-intact","Clinicoradiologic",24,0.19431708994667066,0.15464509475735558
"Spatial validation cohort","IDHmut-intact","Clinicoradiologic",30,0.20375645326171044,0.15464509475735558
"Spatial validation cohort","IDHmut-intact","Clinicoradiologic",36,0.21245418530872356,0.15464509475735558
"Spatial validation cohort","IDHmut-intact","3D-CNN",6,0.05617837723475177,0.15374010737622754
"Spatial validation cohort","IDHmut-intact","3D-CNN",12,0.11031551152499491,0.15374010737622754
