"cohort","subtype","comparison","metric","difference","ci_low","ci_high","p_value","p_formatted"
"Temporal validation cohort","IDHmut-intact","CR-ViT vs 3D-ViT","iauc",0.028882975144054357,-0.03205099021833399,0.11387819473295895,0.3868298801387555,"0.387"
"Temporal validation cohort","IDHmut-intact","CR-ViT vs 3D-ViT","ibs",-0.0030962126409830593,-0.019804592585464798,0.007806403200631101,0.652640943251166,"0.653"
"Temporal validation cohort","IDHmut-codel","3D-CNN vs Clinicoradiologic","cindex",-0.01498929336188437,-0.16039862914862918,0.13933159049024757,0.8466495736112738,"0.847"
"Temporal validation cohort","IDHmut-codel","3D-CNN vs Clinicoradiologic","iauc",-5.113845495832159e-4,-0.15255354596887452,0.1076784096652694,0.9942850181044327,"0.994"
"Temporal validation cohort","IDHmut-codel","3D-CNN vs Clinicoradiologic","ibs",-0.011392996647102943,-0.032086271460651045,0.012867178465330028,0.3246175773538989,"0.325"
"Temporal validation cohort","IDHmut-codel","3D-ViT vs Clinicoradiologic","cindex",0.029264810849393252,-0.12492260678730811,0.16034862327115856,0.6883286313131556,"0.688"
"Temporal validation cohort","IDHmut-codel","3D-ViT vs Clinicoradiologic","iauc",0.05766190973384855,-0.07778532143258897,0.1845584813259195,0.3974384138566043,"0.397"
"Temporal validation cohort","IDHmut-codel","3D-ViT vs Clinicoradiologic","ibs",-0.019738110838446135,-0.04188687358064985,0.0027051424660310703,0.08115437298300165,"0.081"
"Temporal validation cohort","IDHmut-codel","CR-ViT vs Clinicoradiologic","cindex",0.08422555317630265,-0.006233381677544128,0.15296114704027491,0.04503474796607674,"0.045"
"Temporal validation cohort","IDHmut-codel","CR-ViT vs Clinicoradiologic","iauc",0.0984565957054071,-4.296493435218061e-4,0.1795835166263941,0.021183028181807624,"0.021"
"Temporal validation cohort","IDHmut-codel","CR-ViT vs Clinicoradiologic","ibs",-0.017668337081966398,-0.03995354934903717,0.003788388804432681,0.10921757940860206,"0.109"
"Temporal validation cohort","IDHmut-codel","3D-ViT vs 3D-CNN","cindex",0.04425410421127762,-0.01994015654195294,0.1093236361499384,0.17437431965904082,"0.174"
"Temporal validation cohort","IDHmut-codel","3D-ViT vs 3D-CNN","iauc",0.058173294283431765,-0.016663387846688422,0.13451715130695768,0.13039438276278895,"0.130"
"Temporal validation cohort","IDHmut-codel","3D-ViT vs 3D-CNN","ibs",-0.008345114191343192,-0.01902826876705739,8.418324030318655e-5,0.1495380728905199,"0.150"
"Temporal validation cohort","IDHmut-codel","CR-ViT vs 3D-CNN","cindex",0.09921484653818702,0.007106713698413014,0.18828442851736205,0.04218873927659077,"0.042"
"Temporal validation cohort","IDHmut-codel","CR-ViT vs 3D-CNN","iauc",0.09896798025499032,0.032413309087400394,0.1848968618879406,0.01861258374333517,"0.019"
"Temporal validation cohort","IDHmut-codel","CR-ViT vs 3D-CNN","ibs",-0.006275340434863455,-0.0362009010938457,0.022730822163996238,0.6935105134729254,"0.694"
"Temporal validation cohort","IDHmut-codel","CR-ViT vs 3D-ViT","cindex",0.054960742326909395,-0.015241977114212605,0.13230612542493364,0.18306450850777964,"0.183"
"Temporal validation cohort","IDHmut-codel","CR-ViT vs 3D-ViT","iauc",0.04079468597155855,-0.025776793868318663,0.11214613060746531,0.2497449471676904,"0.250"
"Temporal validation cohort","IDHmut-codel","CR-ViT vs 3D-ViT","ibs",0.002069773756479737,-0.024690582247325874,0.02671685170835405,0.8701931001197294,"0.870"
"Temporal validation cohort","GBM","3D-CNN vs Clinicoradiologic","cindex",8.461481862997999e-4,-0.05188294889355214,0.05453450723681648,0.9763946718812879,"0.976"
"Temporal validation cohort","GBM","3D-CNN vs Clinicoradiologic","iauc",0.0183549052535823,-0.08675220959379418,0.12479343471981452,0.7442508727927648,"0.744"
"Temporal validation cohort","GBM","3D-CNN vs Clinicoradiologic","ibs",-0.007095696148904013,-0.0280473908056839,0.011584543204826415,0.5045992097779559,"0.505"
"Temporal validation cohort","GBM","3D-ViT vs Clinicoradiologic","cindex",0.05974541976307857,0.010004161119283962,0.11223628636758345,0.03674043524949607,"0.037"
"Temporal validation cohort","GBM","3D-ViT vs Clinicoradiologic","iauc",0.10596809640175942,0.017800790656584665,0.18801351109514558,0.01743217131549811,"0.017"
"Temporal validation cohort","GBM","3D-ViT vs Clinicoradiologic","ibs",-0.027693602967539394,-0.04861305535437631,-0.00664194804056086,0.012586536641829555,"0.013"
"Temporal validation cohort","GBM","CR-ViT vs Clinicoradiologic","cindex",0.09370171436980357,0.05013608345476585,0.13756423252666758,5.780684000080029e-6,"<0.001"
"Temporal validation cohort","GBM","CR-ViT vs Clinicoradiologic","iauc",0.15073316723112307,0.08744903094332952,0.20526005149884502,5.688909320259784e-6,"<0.001"
"Temporal validation cohort","GBM","CR-ViT vs Clinicoradiologic","ibs",-0.043470183898576945,-0.06445875725685692,-0.02474762612492347,6.738337577094401e-5,"<0.001"
"Temporal validation cohort","GBM","3D-ViT vs 3D-CNN","cindex",0.05889927157677877,0.035220820445541964,0.08382781247527918,1.949519165709182e-6,"<0.001"
"Temporal validation cohort","GBM","3D-ViT vs 3D-CNN","iauc",0.08761319114817712,0.04191943901961618,0.1511167724354402,0.0014441862431637926,"0.001"
"Temporal validation cohort","GBM","3D-ViT vs 3D-CNN","ibs",-0.02059790681863538,-0.031392293157982816,-0.010855006488063155,1.0688137018192832e-4,"<0.001"
"Temporal validation cohort","GBM","CR-ViT vs 3D-CNN","cindex",0.09285556618350377,0.06112703729752804,0.12927461270642843,2.036871827960385e-7,"<0.001"
"Temporal validation cohort","GBM","CR-ViT vs 3D-CNN","iauc",0.13237826197754077,0.06577674312379184,0.21233657559565527,3.7169364322135707e-4,"<0.001"
"Temporal validation cohort","GBM","CR-ViT vs 3D-CNN","ibs",-0.03637448774967293,-0.05332075187571449,-0.018462545898967956,1.0926584900656953e-4,"<0.001"
"Temporal validation cohort","GBM","CR-ViT vs 3D-ViT","cindex",0.033956294606725,0.011720266152084352,0.06581435119781172,0.01868342334262074,"0.019"
"Temporal validation cohort","GBM","CR-ViT vs 3D-ViT","iauc",0.04476507082936365,0.010680086185663268,0.08087625069085755,0.020817927004683028,"0.021"
"Temporal validation cohort","GBM","CR-ViT vs 3D-ViT","ibs",-0.01577658093103755,-0.02777774736284845,-0.003521168329665653,0.015163380482742026,"0.015"
"Spatial validation cohort","IDHmut-intact","3D-CNN vs Clinicoradiologic","cindex",-0.018915223336371856,-0.11382323062871028,0.05384588258396159,0.6554020441398769,"0.655"
"Spatial validation cohort","IDHmut-intact","3D-CNN vs Clinicoradiologic","iauc",-0.029877194644181926,-0.1480697584967823,0.07856408835195963,0.5984610401948949,"0.598"
"Spatial validation cohort","IDHmut-intact","3D-CNN vs Clinicoradiologic","ibs",-9.049873811280418e-4,-0.016095350657739364,0.016178625707311763,0.9118474662270845,"0.912"
"Spatial validation cohort","IDHmut-intact","3D-ViT vs Clinicoradiologic","cindex",0.006210118505013629,-0.09377145360377218,0.07631821456567148,0.8834665056150771,"0.883"
"Spatial validation cohort","IDHmut-intact","3D-ViT vs Clinicoradiologic","iauc",0.02464542745536291,-0.08757353101219065,0.12491447671687478,0.6599427364710017,"0.660"
"Spatial validation cohort","IDHmut-intact","3D-ViT vs Clinicoradiologic","ibs",-0.009554670954661088,-0.028494395834046816,0.009890775904814984,0.2957819957075752,"0.296"
"Spatial validation cohort","IDHmut-intact","CR-ViT vs Clinicoradiologic","cindex",0.057657247037374626,-0.007420491974022097,0.10233556545727471,0.04340007499881219,"0.043"
"Spatial validation cohort","IDHmut-intact","CR-ViT vs Clinicoradiologic","iauc",0.08449064204392298,0.007923139836142708,0.14821299676309288,0.022710501013755078,"0.023"
"Spatial validation cohort","IDHmut-intact","CR-ViT vs Clinicoradiologic","ibs",-0.018408329755988523,-0.03196953855306851,-0.003867342758657134,0.009706207262341587,"0.010"
"Spatial validation cohort","IDHmut-intact","3D-ViT vs 3D-CNN","cindex",0.025125341841385485,-0.012790504337341961,0.05850507146556609,0.20676427597501223,"0.207"
"Spatial validation cohort","IDHmut-intact","3D-ViT vs 3D-CNN","iauc",0.05452262209954484,0.010259684114450269,0.0923270363665477,0.026530367972526305,"0.027"
"Spatial validation cohort","IDHmut-intact","3D-ViT vs 3D-CNN","ibs",-0.008649683573533046,-0.015606525577952848,-1.0218565812008531e-4,0.04493957918752703,"0.045"
