"cohort","subtype","comparison","metric","difference","ci_low","ci_high","p_value","p_formatted"
"Spatial validation cohort","IDHmut-intact","CR-ViT vs 3D-CNN","cindex",0.07657247037374648,0.02143431841863872,0.12596448460174497,0.0021158179140668303,"0.002"
"Spatial validation cohort","IDHmut-intact","CR-ViT vs 3D-CNN","iauc",0.1143678366881049,0.04722517554683997,0.18741457881694576,5.021172460142962e-4,"<0.001"
"Spatial validation cohort","IDHmut-intact","CR-ViT vs 3D-CNN","ibs",-0.01750334237486048,-0.027051014227444898,-0.00510582234138118,0.002908593843213507,"0.003"
"Spatial validation cohort","IDHmut-intact","CR-ViT vs 3D-ViT","cindex",0.051447128532361,0.015437814486727527,0.09542651317817638,0.012114612921567985,"0.012"
"Spatial validation cohort","IDHmut-intact","CR-ViT vs 3D-ViT","iauc",0.05984521458856007,0.010227101188157495,0.10900806947507988,0.0276304915823714,"0.028"
"Spatial validation cohort","IDHmut-intact","CR-ViT vs 3D-ViT","ibs",-0.008853658801327435,-0.01849290607731359,0.0023575570037641727,0.08779728921379257,"0.088"
"Spatial validation cohort","IDHmut-codel","3D-CNN vs Clinicoradiologic","cindex",-0.051861981906164534,-0.1562382498343193,0.07441535344648986,0.3666257557694665,"0.367"
"Spatial validation cohort","IDHmut-codel","3D-CNN vs Clinicoradiologic","iauc",-0.013910881552815613,-0.15690647827429444,0.12878097893059232,0.8565447874123666,"0.857"
"Spatial validation cohort","IDHmut-codel","3D-CNN vs Clinicoradiologic","ibs",-0.007353941906352718,-0.026786026035112966,0.013738047586683635,0.4803560616746961,"0.480"
"Spatial validation cohort","IDHmut-codel","3D-ViT vs Clinicoradiologic","cindex",0.016726278140122064,-0.07180090591653848,0.1253541680890284,0.7460657949147169,"0.746"
"Spatial validation cohort","IDHmut-codel","3D-ViT vs Clinicoradiologic","iauc",0.07141152279863394,-0.05544147991074019,0.19660043368872354,0.28525869006548327,"0.285"
"Spatial validation cohort","IDHmut-codel","3D-ViT vs Clinicoradiologic","ibs",-0.02181470092274851,-0.04100744379800422,-0.001191697714814247,0.05290879872072074,"0.053"
"Spatial validation cohort","IDHmut-codel","CR-ViT vs Clinicoradiologic","cindex",0.06658952240690086,0.017269067996580824,0.12298503683766591,0.032185785476826,"0.032"
"Spatial validation cohort","IDHmut-codel","CR-ViT vs Clinicoradiologic","iauc",0.09918606215503023,0.031617156699225914,0.16581426518613646,0.011563864677903398,"0.012"
